Retailer,Address,Postal Code,City,State,Supplier,Brand Name,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Geocodio Stable Address Key
Harris Teeter #406 (CHS),3865 West Ashley Circle,29414,Charleston,SC,Island Brands,Island Active,32.82611,-80.085134,1,rooftop,3865 W Ashley Cir,,"Charleston, SC 29414",3865,W Ashley Cir,,,Charleston,SC,Charleston County,29414,US,Charleston County GIS,gcod_usn5ellk4397mzrda7wm6m2gjapud
Harris Teeter #457 (CHS),1220 Ben Sawyer Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Active,32.795429,-79.859914,1,rooftop,1220 Ben Sawyer Blvd,,"Mount Pleasant, SC 29464",1220,Ben Sawyer Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usn4drgl74yfzeshkvf2926x6qrz2
Walmart #1383 (CHS),350 Robert Smalls Parkway,29906-4284,Beaufort,SC,Island Brands,Island Active,32.425369,-80.734167,1,rooftop,350 Robert Smalls Pkwy,,"Beaufort, SC 29906",350,Robert Smalls Pkwy,,,Beaufort,SC,Beaufort County,29906,US,Beaufort,gcod_usnnp8c6avwg4c5b3fj2by9ns4ks5
Harris Teeter #87 (CHS),620 Long Point Road,29464,Mount Pleasant,SC,Island Brands,Island Active,32.839684,-79.857002,1,rooftop,620 Long Point Rd,,"Mount Pleasant, SC 29464",620,Long Point Rd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnq9vmw4t26q7eeb7nk9f8pd3353
Walmart #3367 (CHS),4920 Centre Pointe Drive,29418,North Charleston,SC,Island Brands,Island Active,32.877594,-80.017694,1,rooftop,4920 Centre Pointe Dr,,"North Charleston, SC 29418",4920,Centre Pointe Dr,,,North Charleston,SC,Charleston County,29418,US,Charleston County GIS,gcod_usnlfqaank5hbd4a5zy7qutv4lfqc
Harris Teeter #385 (CHS),2195 Tea Planter Lane,29466,Mount Pleasant,SC,Island Brands,Island Active,32.83941,-79.816624,1,rooftop,2195 Tea Planter Ln,,"Mount Pleasant, SC 29466",2195,Tea Planter Ln,,,Mount Pleasant,SC,Charleston County,29466,US,Charleston County GIS,gcod_usnvvy58ddwyzu565zwwp382nvc76
Walmart #0632 (CHS),1481 US Highway 17,29464,Mount Pleasant,SC,Island Brands,Island Active,32.814082,-79.845456,1,rooftop,1481 N Highway 17,,"Mount Pleasant, SC 29464",1481,N Highway 17,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnyea6lrfd2pqdgktvvwnjes6zxf
Total Wine & More #702-W Ashley (CHS),1820-A Ashley River Road,29407,Charleston,SC,Island Brands,Island Active,32.803356,-80.017078,1,rooftop,1820 Ashley River Rd,,"Charleston, SC 29407",1820,Ashley River Rd,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usna2372jezulbrebh8bdj4qn4dg7
Walmart #4384 (CHS),3000 Proprietors Place,29466-8361,Mount Pleasant,SC,Island Brands,Island Active,32.861797,-79.788224,1,rooftop,3000 Proprietors Pl,,"Mount Pleasant, SC 29466",3000,Proprietors Pl,,,Mount Pleasant,SC,Charleston County,29466,US,Charleston County GIS,gcod_usnbj9afd6u7gpud8adlpwebleff2
Charlies Grocery-Spring St (CHS),119 Spring Street,29403,Charleston,SC,Island Brands,Island Active,32.789941,-79.947564,1,rooftop,119 Spring St,,"Charleston, SC 29403",119,Spring St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnuzcwt69q7drx5ekrx7xtj96p8h
Total Wine & More #705-Mt P (CHS),1501 North Highway 17,29464,Mount Pleasant,SC,Island Brands,Island Active,32.816014,-79.842754,1,rooftop,1501 N Highway 17,,"Mount Pleasant, SC 29464",1501,N Highway 17,,,Mount Pleasant,SC,Charleston County,29464,US,Statewide SC,gcod_usnyea6lrfd2pqdg2g7t4u26qzru3
Daddy O's Beer And Wine (CHS),6A Young Clyde Court,29909-7545,Bluffton,SC,Island Brands,Island Active,32.297782,-80.949252,0.8,nearest_rooftop_match,6 Young Clyde Ct,,"Bluffton, SC 29909",6,Young Clyde Ct,,,Bluffton,SC,Beaufort County,29909,US,Beaufort,gcod_usn46p8aedztpctft34phxg447bee
Bert's Supermarket (CHS),202 East Ashley Boulevard,29439,Folly Beach,SC,Island Brands,Island Active,32.65662,-79.938498,1,rooftop,202 E Ashley Ave,,"Folly Beach, SC 29439",202,E Ashley Ave,,,Folly Beach,SC,Charleston County,29439,US,Statewide SC,gcod_usnnq87fju8qznx7mgjephslty5af
Harris Teeter #131 (CHS),2035 Highway 41,29466,Mount Pleasant,SC,Island Brands,Island Active,32.897823,-79.821698,1,rooftop,2035 SC-41,,"Mount Pleasant, SC 29466",2035,SC-41,,,Mount Pleasant,SC,Charleston County,29466,US,Charleston County GIS,gcod_usn5m2gbphrzv7t44wergf5mt3zw9
Refuel #55 (CHS),1705 Clements Ferry Road,29492,Charleston,SC,Island Brands,Island Active,32.92266,-79.86993,1,rooftop,1705 Clements Ferry Rd,,"Charleston, SC 29492",1705,Clements Ferry Rd,,,Charleston,SC,Berkeley County,29492,US,Berkeley,gcod_usnxqylwskpm7fp6b97g9jzu4efcg
Harris Teeter #363 (CHS),9500 Dorchester Road,29485,Summerville,SC,Island Brands,Island Active,32.936631,-80.141339,1,rooftop,9500 Dorchester Rd,,"Summerville, SC 29485",9500,Dorchester Rd,,,Summerville,SC,Dorchester County,29485,US,Statewide SC,gcod_usn8h8gaawezstt3jgpxvjes9lzs2
Walmart Market #3713 (CHS),3685 Ladson Road,29456,Ladson,SC,Island Brands,Island Active,32.978899,-80.128284,1,rooftop,3685 Ladson Rd,,"Ladson, SC 29456",3685,Ladson Rd,,,Ladson,SC,Charleston County,29456,US,Charleston County GIS,gcod_usn67n9x4extpr3hr4gxygjgzrstc
Publix #0700 (CHS),11 Palmetto Bay Road,29928-3293,Hilton Head Island,SC,Island Brands,Island Active Variety Pack,32.156668,-80.765464,1,rooftop,11 Palmetto Bay Rd,,"Hilton Head Island, SC 29928",11,Palmetto Bay Rd,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnzax6rwbzbtjs76l7knz8tyaqn8
I Heart CBD - Park Circle (CHS),1083 East Montague Avenue,29405,North Charleston,SC,Island Brands,Island Chill Lemon Lime,32.881247,-79.977463,1,rooftop,1083 E Montague Ave,,"North Charleston, SC 29405",1083,E Montague Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS,gcod_usnd57utpkg2zx45ujpqtzg66sfpd
Spar Reid Market (CHS),51 Reid Street,29403,Charleston,SC,Island Brands,Island Chill Lemon Lime,32.793105,-79.936467,1,rooftop,51 Reid St,,"Charleston, SC 29403",51,Reid St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnql9ag3dl5lee276jpnrw799xt8
Spinx #0355 (CHS),2160 North Main Street,29486-7829,Summerville,SC,Island Brands,Island Chill Pineapple Coconut,33.047029,-80.109495,1,rooftop,2160 N Main St,,"Summerville, SC 29486",2160,N Main St,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usnrp9fr68yydlh9cexfnefk38pv3
Spinx #0364 (CHS),845 Jedburg Road,29486-6904,Summerville,SC,Island Brands,Island Chill Pineapple Coconut,33.084194,-80.205709,1,rooftop,845 Jedburg Rd,,"Summerville, SC 29486",845,Jedburg Rd,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usnlsqlwjkj2f7x7zsdd95wwglkce
Spinx #370 (CHS),3285 Timberline Dr,29455,Johns Island,SC,Island Brands,Island Chill Pineapple Coconut,32.732826,-80.058195,1,rooftop,3285 Timberline Dr,,"Johns Island, SC 29455",3285,Timberline Dr,,,Johns Island,SC,Charleston County,29455,US,Charleston County GIS,gcod_usn8zh7xlyltnm46m5w4ra4abjcy2
Spinx #0317 (CHS),1558 South Live Oak Drive,29461,Moncks Corner,SC,Island Brands,Island Chill Pineapple Coconut,33.153237,-80.058732,1,rooftop,1558 S Live Oak Dr,,"Moncks Corner, SC 29461",1558,S Live Oak Dr,,,Moncks Corner,SC,Berkeley County,29461,US,Berkeley,gcod_usnnp7ntbkqjte35d3vtssmpltghg
Spinx #371 (CHS),1130 Holliday Farms Boulevard,29465,Mount Pleasant,SC,Island Brands,Island Chill Pineapple Coconut,32.842704,-79.815348,0.99,rooftop,1130 Holliday Farms Blvd,,"Mount Pleasant, SC 29466",1130,Holliday Farms Blvd,,,Mount Pleasant,SC,Charleston County,29466,US,Statewide SC,gcod_usnevupqwrqtezkdq8yxcg24btup7
E Cig Depot - Mt Pleasant (CHS),3377 South Morgans Point Road,29466,Mount Pleasant,SC,Island Brands,Island Chill Pineapple Coconut,32.874008,-79.770935,1,rooftop,3377 S Morgans Point Rd,,"Mount Pleasant, SC 29466",3377,S Morgans Point Rd,,,Mount Pleasant,SC,Charleston County,29466,US,Charleston County GIS,gcod_usng2f7kagv4van7smsfasrarj266
Spinx #0356 (CHS),9636 Highway 78,29456,Ladson,SC,Island Brands,Island Chill Pineapple Coconut,32.989946,-80.099998,1,rooftop,9636 Highway 78,,"Ladson, SC 29456",9636,Highway 78,,,Ladson,SC,Berkeley County,29456,US,Berkeley,gcod_usnfpufkw5t5tn7dd9a27tshhp268
Spinx #0341 (CHS),2627 Highway 41,29492,Charleston,SC,Island Brands,Island Chill Pineapple Coconut,32.931083,-79.819808,1,rooftop,2627 Hwy 41,,"Charleston, SC 29492",2627,Hwy 41,,,Charleston,SC,Berkeley County,29492,US,Berkeley,gcod_usneu6egh47gtp73lq4k5exsbgf78
Spinx #0359 (CHS),360 East 5th North Street,29483,Summerville,SC,Island Brands,Island Chill Strawberry Mango,33.023093,-80.165556,1,rooftop,360 E 5 North St,,"Summerville, SC 29483",360,E 5 North St,,,Summerville,SC,Dorchester County,29483,US,Charleston County GIS,gcod_usncs7hk86fsfyd8jpuyvyry8c364
Lowe's Foods #278 (CHS),3125 Bees Ferry Road,29414,Charleston,SC,Island Brands,Island Chill Strawberry Mango,32.842361,-80.059423,1,rooftop,3125 Bees Ferry Rd,,"Charleston, SC 29414",3125,Bees Ferry Rd,,,Charleston,SC,Charleston County,29414,US,Charleston County GIS,gcod_usnch8msdafj4xd76w6mfxub3z5r7
Spinx #368 (CHS),4000 Wildcat Boulevard,29414,Charleston,SC,Island Brands,Island Chill Strawberry Mango,32.819089,-80.068082,1,rooftop,4000 W Wildcat Blvd,,"Charleston, SC 29414",4000,W Wildcat Blvd,,,Charleston,SC,Charleston County,29414,US,Charleston County GIS,gcod_usnq8y5rzngnvp85x29t85wpmjzt9
Lowe's Foods #279 (CHS),1000 Tanner Ford Boulevard,29410-4707,Hanahan,SC,Island Brands,Island Chill Strawberry Mango,32.934126,-79.999537,1,rooftop,1000 Tanner Ford Blvd,,"Hanahan, SC 29410",1000,Tanner Ford Blvd,,,Hanahan,SC,Berkeley County,29410,US,Berkeley,gcod_usnmgk5jbr5gqvxhk25sczmwgsyt7
Jadoon's Market (CHS),5137 North Rhett Avenue,29405,North Charleston,SC,Island Brands,Island Chill Strawberry Mango,32.89165,-79.985853,1,rooftop,5137 N Rhett Ave,,"North Charleston, SC 29405",5137,N Rhett Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS,gcod_usnj6quy3n8jhtx2w9kpnnvuds6f7
Spinx #0351 (CHS),3109 West Montague Avenue,29418,North Charleston,SC,Island Brands,Island Chill Strawberry Mango,32.864774,-80.013695,1,rooftop,3109 W Montague Ave,,"North Charleston, SC 29418",3109,W Montague Ave,,,North Charleston,SC,Charleston County,29418,US,Charleston County GIS,gcod_usn68e8jn34l3l3hjdaw676uzfw83
Lowe's Foods #270 (CHS),10048 Dorchester Road,29485,Summerville,SC,Island Brands,Island Chill Strawberry Mango,32.953902,-80.164391,1,rooftop,10048 Dorchester Rd,,"Summerville, SC 29485",10048,Dorchester Rd,,,Summerville,SC,Dorchester County,29485,US,Statewide SC,gcod_usn8h8gaawezstt3ye4mddyjzek72
Lowe's Foods #293 (CHS),3575 Maybank Highway,29455,Johns Island,SC,Island Brands,Island Chill Strawberry Mango,32.720764,-80.080736,1,rooftop,3575 Maybank Hwy,,"Johns Island, SC 29455",3575,Maybank Hwy,,,Johns Island,SC,Charleston County,29455,US,Charleston County GIS,gcod_usn4bxjjv5r333f3nyp67nwweylca
Spinx #0350 (CHS),6899 Rivers Avenue,29406,North Charleston,SC,Island Brands,Island Chill Strawberry Mango,32.920104,-80.030728,1,rooftop,6899 Rivers Ave,,"North Charleston, SC 29406",6899,Rivers Ave,,,North Charleston,SC,Charleston County,29406,US,Charleston County GIS,gcod_usnqgh6w5rus53ham49emrnel2q73
Spinx #0353 (CHS),1310 Orangeburg Road,29483,Summerville,SC,Island Brands,Island Chill Strawberry Mango,33.041257,-80.248144,1,rooftop,1310 Orangeburg Rd,,"Summerville, SC 29483",1310,Orangeburg Rd,,,Summerville,SC,Dorchester County,29483,US,Statewide SC,gcod_usnt9bvz86wvl4c6etsnwucqekmp5
Spinx #0366 (CHS),10696 Dorchester Road,29485-7609,Summerville,SC,Island Brands,Island Chill Strawberry Mango,32.97067,-80.208764,1,rooftop,10696 Dorchester Rd,,"Summerville, SC 29485",10696,Dorchester Rd,,,Summerville,SC,Dorchester County,29485,US,Dorchester,gcod_usn6bu2g3hsslkndujqx9b6z5p9da
Spinx #0352 (CHS),4895 Ashley Phosphate Road,29418,North Charleston,SC,Island Brands,Island Chill Strawberry Mango,32.918506,-80.101197,1,rooftop,4895 Ashley Phosphate Rd,,"North Charleston, SC 29418",4895,Ashley Phosphate Rd,,,North Charleston,SC,Dorchester County,29418,US,Statewide SC,gcod_usnbye2wmwgmxmtck7a8gtlt8w5p5
Publix #2038 (CHS),2700 North Main Street,29486,Summerville,SC,Island Brands,Island Coastal Lager,33.062768,-80.096192,1,rooftop,2700 N Main St,,"Summerville, SC 29486",2700,N Main St,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usnrp9fr68yydlh9geargjrbr6l88
Spinx #0378 (CHS),930 West 5th North Street,29483,Summerville,SC,Island Brands,Island Coastal Lager,33.033974,-80.18418,1,range_interpolation,930 W 5th North St,,"Summerville, SC 29483",930,W 5th North St,,,Summerville,SC,Dorchester County,29483,US,TIGER/Line® from the US Census Bureau,gcod_usnjake9uj7fwqx2kp28l5mh5m3c5
Towne Centre Market - Mt P (CHS),1865 Highway 17 North,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.830381,-79.831468,1,rooftop,1865 N Highway 17,,"Mount Pleasant, SC 29464",1865,N Highway 17,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnyea6lrfd2pqdgzrrknha5tc8d6
Walmart #0728 (CHS),25 Pembroke Drive,29926,Hilton Head Island,SC,Island Brands,Island Coastal Lager,32.211534,-80.728707,1,rooftop,25 Pembroke Dr,,"Hilton Head Island, SC 29926",25,Pembroke Dr,,,Hilton Head Island,SC,Beaufort County,29926,US,Beaufort,gcod_usnm28xeszevjs29zf87zau45c5l9
Publix #1081 (CHS),1125 Park West Boulevard,29466,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.874079,-79.779347,1,rooftop,1125 Park West Blvd,,"Mount Pleasant, SC 29466",1125,Park West Blvd,,,Mount Pleasant,SC,Charleston County,29466,US,Charleston County GIS,gcod_usn25gulv3wu6zscq8puxbwt2v455
Publix #0633 (CHS),520 Folly Road,29412,Charleston,SC,Island Brands,Island Coastal Lager,32.753634,-79.970954,1,rooftop,520 Folly Rd,,"Charleston, SC 29412",520,Folly Rd,,,Charleston,SC,Charleston County,29412,US,Charleston County GIS,gcod_usn8vewwym3yhyn4l7d2sdz6wx78b
Publix #1205 (CHS),101 Buckwalter Place Boulevard,29910-5155,Bluffton,SC,Island Brands,Island Coastal Lager,32.270532,-80.916747,1,rooftop,101 Buckwalter Place Blvd,,"Bluffton, SC 29910",101,Buckwalter Place Blvd,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usnkr4gvcnpqhmk3wxgqvjuy2n88b
Publix #0483 (CHS),1575 Old Trolley Road,29485,Summerville,SC,Island Brands,Island Coastal Lager,32.966816,-80.166093,1,rooftop,1575 Old Trolley Rd,,"Summerville, SC 29485",1575,Old Trolley Rd,,,Summerville,SC,Dorchester County,29485,US,Charleston County GIS,gcod_usnss38eytdu49g8xxajvub72jh7f
Publix #2090 (CHS),162 Seven Farms Drive,29492,Daniel Island,SC,Island Brands,Island Coastal Lager,32.863656,-79.903566,1,rooftop,162 7 Farms Dr,,"Charleston, SC 29492",162,7 Farms Dr,,,Charleston,SC,Berkeley County,29492,US,Berkeley,gcod_usnqr5pfvu9erlv94yjudjragbkn6
Publix #1646 (CHS),730 Hopewell Drive,29492,Charleston,SC,Island Brands,Island Coastal Lager,32.921594,-79.871326,1,rooftop,730 Hopewell Dr,,"Charleston, SC 29492",730,Hopewell Dr,,,Charleston,SC,Berkeley County,29492,US,Berkeley,gcod_usnk23ft8lc378292awzevlj9evt6
Publix #1866 (CHS),1274 Nexton Parkway,29486,Summerville,SC,Island Brands,Island Coastal Lager,33.060321,-80.153804,1,rooftop,1274 Nexton Pkwy,,"Summerville, SC 29486",1274,Nexton Pkwy,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usn5z2b4glreqhefp68bgqzhbvj72
Publix #1055 (CHS),1435 Ben Sawyer Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.79162,-79.854302,1,rooftop,1435 Ben Sawyer Blvd,,"Mount Pleasant, SC 29464",1435,Ben Sawyer Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usn4drgl74yfzeshh6mu83u7up66c
Publix #1145 (CHS),3642 Savannah Highway,29455,Johns Island,SC,Island Brands,Island Coastal Lager,32.80489,-80.111841,1,rooftop,3642 Savannah Hwy,,"Johns Island, SC 29455",3642,Savannah Hwy,,,Johns Island,SC,Charleston County,29455,US,Statewide SC,gcod_usn6zbp8y2lk6dt6p7d42njcu42nf
Publix #1599 (CHS),10 Westedge Street,29403-4702,Charleston,SC,Island Brands,Island Coastal Lager,32.786855,-79.95705,1,rooftop,10 Westedge St,,"Charleston, SC 29403",10,Westedge St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnryveas3kuuvq22fgqprxxqjlcd
Spinx #0354 (CHS),3665 Ladson Road,29456,Ladson,SC,Island Brands,Island Coastal Lager,32.98124,-80.126642,1,rooftop,3665 Ladson Rd,,"Ladson, SC 29456",3665,Ladson Rd,,,Ladson,SC,Charleston County,29456,US,Charleston County GIS,gcod_usn67n9x4extpr3he75b3myey343h
Sewee Outpost (CHS),4853 North Highway 17,29429,Awendaw,SC,Island Brands,Island Coastal Lager,32.929084,-79.71285,1,rooftop,4853 N US-17,,"Awendaw, SC 29429",4853,N US-17,,,Awendaw,SC,Charleston County,29429,US,Statewide SC,gcod_usnfknad477ypuab32lc7cjbyq3sb
Publix #0472 (CHS),1401 Sam Rittenberg Boulevard,29407,Charleston,SC,Island Brands,Island Coastal Lager,32.813269,-79.997695,1,rooftop,1401 Sam Rittenberg Blvd,,"Charleston, SC 29407",1401,Sam Rittenberg Blvd,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usngraghaq6me4f9vp9xtagaf527c
Publix #1775 (CHS),2830 Highway 52,29461,Moncks Corner,SC,Island Brands,Island Coastal Lager,33.089794,-80.030307,1,rooftop,2830 Highway 52,,"Moncks Corner, SC 29461",2830,Highway 52,,,Moncks Corner,SC,Berkeley County,29461,US,Berkeley,gcod_usnsd4nlt72djz32dykfnn6m2xpj5
Refuel #50 (CHS),2220 Middle Street,29482,Sullivans Island,SC,Island Brands,Island Coastal Lager,32.763049,-79.836577,1,rooftop,2220 Middle St,,"Sullivans Island, SC 29482",2220,Middle St,,,Sullivans Island,SC,Charleston County,29482,US,Statewide SC,gcod_usnyjfwp23bczmgarjur49csd9ryd
Walmart #1748 (CHS),3951 West Ashley Circle,29414,Charleston,SC,Island Brands,Island Coastal Lager,32.821683,-80.081426,1,rooftop,3951 W Ashley Cir,,"Charleston, SC 29414",3951,W Ashley Cir,,,Charleston,SC,Charleston County,29414,US,Charleston County GIS,gcod_usn5ellk4397mzrdvcyg8gcvxtcge
Publix #0824 (CHS),8409 Dorchester Road,29420,North Charleston,SC,Island Brands,Island Coastal Lager,32.912866,-80.109221,1,rooftop,8409 Dorchester Rd,,"North Charleston, SC 29420",8409,Dorchester Rd,,,North Charleston,SC,Dorchester County,29420,US,Statewide SC,gcod_usnfvnqbvu7jyrg4ywjnbbw5ltdbc
Publix #0449 (CHS),1000 Johnnie Dodds Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.813839,-79.867313,1,rooftop,1000 Johnnie Dodds Blvd,,"Mount Pleasant, SC 29464",1000,Johnnie Dodds Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnjz6pduu3pt2afraz595wyjsjyg
Publix #1120 (CHS),1585 Central Avenue,29483,Summerville,SC,Island Brands,Island Coastal Lager,33.011712,-80.234942,1,rooftop,1585 Central Ave,,"Summerville, SC 29483",1585,Central Ave,,,Summerville,SC,Dorchester County,29483,US,Statewide SC,gcod_usnlvt3btrpvd565tpualhd3g5zve
