Retailer,Address,Postal Code,City,State,Supplier,Brand Name,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Geocodio Stable Address Key
Publix #1266 (CHS),1724 State Road,29486,Summerville,SC,Island Brands,Island Coastal Lager,33.106817,-80.125944,1,rooftop,1724 State Rd,,"Summerville, SC 29486",1724,State Rd,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usnu96nrv6twl9zcv59yuuz4nz4kg
Spinx #0358 (CHS),2801 US-52,29461,Moncks Corner,SC,Island Brands,Island Coastal Lager,33.091703,-80.032203,1,rooftop,2801 Highway 52,,"Moncks Corner, SC 29461",2801,Highway 52,,,Moncks Corner,SC,Berkeley County,29461,US,Berkeley,gcod_usnsd4nlt72djz32zspwcv9727qu9
Publix #1716 (CHS),33 Robert Smalls Parkway,29906,Beaufort,SC,Island Brands,Island Coastal Lager,32.437662,-80.704822,1,rooftop,33 Robert Smalls Pkwy,,"Beaufort, SC 29906",33,Robert Smalls Pkwy,,,Beaufort,SC,Beaufort County,29906,US,Beaufort,gcod_usnhpcqlrc2q22t86fas8ktjzfv23
RTs Market (CHS),12 Westerwald Street,29910-8300,Bluffton,SC,Island Brands,Island Coastal Lager,32.207513,-80.885846,1,rooftop,12 Westerwald St,,"Bluffton, SC 29910",12,Westerwald St,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usngrpqylgggdpq2gqkpfzn4nu3q6
Walmart Market #6174 (CHS),10635 Dorchester Road,29485,Summerville,SC,Island Brands,Island Coastal Lager,32.967347,-80.203928,1,rooftop,10635 Dorchester Rd,,"Summerville, SC 29485",10635,Dorchester Rd,,,Summerville,SC,Dorchester County,29485,US,Statewide SC,gcod_usn8h8gaawezstt3gfl29u32lxq24
Publix #1354 (CHS),112 Nickle Plate Road,29927,Hardeeville,SC,Island Brands,Island Coastal Lager,32.30821,-80.973388,1,rooftop,112 Nickel Plate Rd,,"Hardeeville, SC 29927",112,Nickel Plate Rd,,,Hardeeville,SC,Jasper County,29927,US,Jasper,gcod_usn2sly6sbgzy6rhmv7zuz7bcj85c
Publix #1645 (CHS),1411 Folly Road Suite 100,29412,Charleston,SC,Island Brands,Island Coastal Lager,32.714256,-79.96682,1,rooftop,1411 Folly Rd,Ste 100,"Charleston, SC 29412",1411,Folly Rd,Ste,100,Charleston,SC,Charleston County,29412,US,Charleston County GIS,gcod_usn8vewwym3yhyn4gvhld8n2t2tua
Publix #0473 (CHS),45 Pembroke Drive,29926,Hilton Head Island,SC,Island Brands,Island Coastal Lager,32.210974,-80.725213,1,rooftop,45 Pembroke Dr,,"Hilton Head Island, SC 29926",45,Pembroke Dr,,,Hilton Head Island,SC,Beaufort County,29926,US,Beaufort,gcod_usnm28xeszevjs29fz7ycgzsgdtha
Lowe's Foods #265 (CHS),2110 SC Highway 41,29466,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.906035,-79.822929,1,rooftop,2110 SC-41,,"Mount Pleasant, SC 29466",2110,SC-41,,,Mount Pleasant,SC,Charleston County,29466,US,Charleston County GIS,gcod_usn5m2gbphrzv7t4grf6wtn68nc6b
Parkers #67 (CHS),856 Sea Island Parkway,29920-3902,Beaufort,SC,Island Brands,Island Coastal Lager,32.396441,-80.577244,1,rooftop,856 Sea Island Pkwy,,"Saint Helena Island, SC 29920",856,Sea Island Pkwy,,,Saint Helena Island,SC,Beaufort County,29920,US,Beaufort,gcod_usnnsy7fwercp7v785ad5ra8g2q62
Harris Teeter #451 (CHS),515 Freshfields Drive,29455,Johns Island,SC,Island Brands,Island Coastal Lager,32.606859,-80.147828,1,rooftop,515 Freshfields Dr,,"Johns Island, SC 29455",515,Freshfields Dr,,,Johns Island,SC,Charleston County,29455,US,Statewide SC,gcod_usnl9szn6wbplga674zlzdemurkp9
Food Lion #1499 (CHS),2770 Maybank Highway,29455,Johns Island,SC,Island Brands,Island Coastal Lager,32.744996,-80.038179,1,rooftop,2770 Maybank Hwy,,"Johns Island, SC 29455",2770,Maybank Hwy,,,Johns Island,SC,Charleston County,29455,US,Charleston County GIS,gcod_usn4bxjjv5r333f3kgfzcckpstevf
Walmart #6395 (CHS),4 Bluffton Road,29910-7621,Bluffton,SC,Island Brands,Island Coastal Lager,32.25974,-80.854278,1,rooftop,4 Bluffton Rd,,"Bluffton, SC 29910",4,Bluffton Rd,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usnlefkvejz5fy6bjcxqyrsetxa43
Parkers #77 (CHS),1111 Cane Bay Boulevard,29486-2396,Summerville,SC,Island Brands,Island Coastal Lager,33.105041,-80.126419,1,rooftop,1111 Cane Bay Blvd,,"Summerville, SC 29486",1111,Cane Bay Blvd,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usnkv8cnnr4eg4a9ccw67aa4fcaxe
Harris Teeter #453 (CHS),1985 Folly Road,29412,Charleston,SC,Island Brands,Island Coastal Lager,32.685862,-79.961027,1,rooftop,1985 Folly Rd,,"Charleston, SC 29412",1985,Folly Rd,,,Charleston,SC,Charleston County,29412,US,Statewide SC,gcod_usn8vewwym3yhyn4m7grysd7dc8f6
Food Lion #0410 (CHS),1316 Red Bank Road,29445-4592,Goose Creek,SC,Island Brands,Island Coastal Lager,32.969181,-80.011555,1,rooftop,1316 Red Bank Rd,,"Goose Creek, SC 29445",1316,Red Bank Rd,,,Goose Creek,SC,Berkeley County,29445,US,Berkeley,gcod_usn93vgfll2l6rx9r6y8s235lz835
Walmart Market #3899 (CHS),215 Saint James Avenue,29445-2938,Goose Creek,SC,Island Brands,Island Coastal Lager,33.008028,-80.047231,1,rooftop,215 St James Ave,,"Goose Creek, SC 29445",215,St James Ave,,,Goose Creek,SC,Berkeley County,29445,US,Berkeley,gcod_usnm8e8bdxlnglt8utgm7f7q5kvj3
Harris Teeter #365 (CHS),975 Savannah Highway,29407,Charleston,SC,Island Brands,Island Coastal Lager,32.78246,-79.991036,1,rooftop,975 Savannah Hwy,,"Charleston, SC 29407",975,Savannah Hwy,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usn84spdtwcpkaebq4tnpl93zuv72
Nouria #1403/Enmarket #863 (CHS),448 Independence Boulevard,29927,Hardeeville,SC,Island Brands,Island Coastal Lager,32.311656,-81.056713,1,rooftop,448 Independence Blvd,,"Hardeeville, SC 29927",448,Independence Blvd,,,Hardeeville,SC,Jasper County,29927,US,Jasper,gcod_usng57aaljsfe5q98s5kl3mjn86ec
Walmart #0628 (CHS),9880 Dorchester Road,29485,Summerville,SC,Island Brands,Island Coastal Lager,32.95018,-80.155164,1,rooftop,9880 Dorchester Rd,,"Summerville, SC 29485",9880,Dorchester Rd,,,Summerville,SC,Dorchester County,29485,US,Statewide SC,gcod_usn8h8gaawezstt3xznkcwxr9ryh2
Fresh Market #48 (CHS),890 William Hilton Parkway,29928,Hilton Head Island,SC,Island Brands,Island Coastal Lager,32.169863,-80.739553,1,rooftop,890 William Hilton Pkwy,,"Hilton Head Island, SC 29928",890,William Hilton Pkwy,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnf4g6dweq7zw5b4txcq9c4kknsc
Walmart #2348 (CHS),1231 Folly Road,29412,Charleston,SC,Island Brands,Island Coastal Lager,32.720536,-79.967672,1,rooftop,1231 Folly Rd,,"Charleston, SC 29412",1231,Folly Rd,,,Charleston,SC,Charleston County,29412,US,Charleston County GIS,gcod_usn8vewwym3yhyn4kplvxh6evmc49
Parkers #72 (CHS),1105 North Highway 52,29461-4312,Moncks Corner,SC,Island Brands,Island Coastal Lager,33.21888,-79.968441,1,rooftop,1105 N Highway 52,,"Moncks Corner, SC 29461",1105,N Highway 52,,,Moncks Corner,SC,Berkeley County,29461,US,Berkeley,gcod_usn9wkgxx7c35vy9cf62exyhezhah
Country Corner #28 - McClellanville (CHS),10035 North Highway 17,29458,McClellanville,SC,Island Brands,Island Coastal Lager,33.093006,-79.479055,1,rooftop,10035 N US-17,,"Mc Clellanville, SC 29458",10035,N US-17,,,Mc Clellanville,SC,Charleston County,29458,US,Statewide SC,gcod_usnr67s2z4qlvht5hsmydfcv553zf
Harris Teeter #429 (CHS),163 Sea Island Parkway,29907,Beaufort,SC,Island Brands,Island Coastal Lager,32.414326,-80.648517,1,rooftop,163 Sea Island Pkwy,,"Beaufort, SC 29907",163,Sea Island Pkwy,,,Beaufort,SC,Beaufort County,29907,US,Beaufort,gcod_usne6p2ye6mzh64clx2yaaytd7lr9
Parkers #59 (CHS),3462 Trask Parkway,29906-7169,Beaufort,SC,Island Brands,Island Coastal Lager,32.45254,-80.733067,1,rooftop,3462 Trask Pkwy,,"Beaufort, SC 29906",3462,Trask Pkwy,,,Beaufort,SC,Beaufort County,29906,US,Beaufort,gcod_usn69m42wstqeqse8eqnnvgkupe52
Harris Teeter #355 (CHS),680 Bacons Bridge Road,29485,Summerville,SC,Island Brands,Island Coastal Lager,32.999586,-80.185617,1,rooftop,680 Bacons Bridge Rd,,"Summerville, SC 29485",680,Bacons Bridge Rd,,,Summerville,SC,Dorchester County,29485,US,Charleston County GIS,gcod_usnsgtwky75r2bfdx3eer8297rqud
Kroger #703 (CHS),27 Discovery Drive,29910,Bluffton,SC,Island Brands,Island Coastal Lager,32.273899,-80.917513,1,rooftop,27 Discovery Dr,,"Bluffton, SC 29910",27,Discovery Dr,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usn46r6t9cdp2nv6zg9a3ykbyvl2c
Harris Teeter #410 (CHS),1812 Sam Rittenberg Boulevard,29407,Charleston,SC,Island Brands,Island Coastal Lager,32.802526,-80.019691,1,rooftop,1812 Sam Rittenberg Blvd,,"Charleston, SC 29407",1812,Sam Rittenberg Blvd,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usngraghaq6me4f9bly63x3rkusq7
Parkers #48 (CHS),1705 Ribaut Road,29935,Port Royal,SC,Island Brands,Island Coastal Lager,32.383856,-80.69225,1,rooftop,1705 Ribaut Rd,,"Port Royal, SC 29935",1705,Ribaut Rd,,,Port Royal,SC,Beaufort County,29935,US,Beaufort,gcod_usnxvb2fxvmsrvvbt4m2rubgf7ulc
Parkers #66 (CHS),133 Sam's Point Road,29907-2056,Beaufort,SC,Island Brands,Island Coastal Lager,32.42498,-80.643765,1,rooftop,133 Sams Point Rd,,"Beaufort, SC 29907",133,Sams Point Rd,,,Beaufort,SC,Beaufort County,29907,US,Beaufort,gcod_usn35gwlmga5tv56ea9y78cj8zvda
Harris Teeter #368 (CHS),1269 Nexton Parkway,29486,Summerville,SC,Island Brands,Island Coastal Lager,33.05892,-80.150878,1,rooftop,1269 Nexton Pkwy,,"Summerville, SC 29486",1269,Nexton Pkwy,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usn5z2b4glreqhef99ymguhh96nn8
Nickel Pumpers - Bluffton (CHS),2 Bruin Road,29910-8106,Bluffton,SC,Island Brands,Island Coastal Lager,32.236796,-80.860296,1,rooftop,2 Bruin Rd,,"Bluffton, SC 29910",2,Bruin Rd,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usnlxej662ajtyjaxalgcvdtvzr7h
Harris Teeter #452 (CHS),1513 Palm Boulevard,29451,Isle Of Palms,SC,Island Brands,Island Coastal Lager,32.789545,-79.787191,1,rooftop,1513 Palm Blvd,,"Isle of Palms, SC 29451",1513,Palm Blvd,,,Isle of Palms,SC,Charleston County,29451,US,Statewide SC,gcod_usnujauxvc77hc2h7xqx5wwypslcg
The Sea Store (CHS),7 Lockwood Drive,29401-1122,Charleston,SC,Island Brands,Island Coastal Lager,32.779111,-79.949875,1,rooftop,7 Lockwood Dr,,"Charleston, SC 29401",7,Lockwood Dr,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnfcvwscm8as8yfmgeetgczmjhm5
Food Lion #2850 (CHS),5982 West Jim Bilton Boulevard,29477,Saint George,SC,Island Brands,Island Coastal Lager,33.196141,-80.599665,1,rooftop,5982 W Jim Bilton Blvd,,"Saint George, SC 29477",5982,W Jim Bilton Blvd,,,Saint George,SC,Dorchester County,29477,US,Statewide SC,gcod_usnfb6qvkbkn6uw7xcpdq8tvex2kf
Parkers #79 (CHS),1140 Sam Rittenberg Boulevard,29405,Charleston,SC,Island Brands,Island Coastal Lager,32.819443,-79.992981,0.99,rooftop,1140 Sam Rittenberg Blvd,,"Charleston, SC 29407",1140,Sam Rittenberg Blvd,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usngraghaq6me4f9gvkyax99y6mpd
Circle K #2720492 (CHS),1206 Palm Boulevard,29451,Isle Of Palms,SC,Island Brands,Island Coastal Lager,32.787605,-79.788587,1,rooftop,1206 Palm Blvd,,"Isle of Palms, SC 29451",1206,Palm Blvd,,,Isle of Palms,SC,Charleston County,29451,US,Statewide SC,gcod_usnujauxvc77hc2h6wwaa7p3hc3y4
Refuel #48 (CHS),605 Brighton Park Boulevard,29486,Summerville,SC,Island Brands,Island Coastal Lager,33.05615,-80.152044,1,rooftop,605 Brighton Park Blvd,,"Summerville, SC 29486",605,Brighton Park Blvd,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usnmelthsh8humh73hcs5xlyrcbme
V Go #21 - Savannah Hwy (CHS),1406 Savannah Highway,29407,Charleston,SC,Island Brands,Island Coastal Lager,32.785119,-80.001894,1,rooftop,1406 Savannah Hwy,,"Charleston, SC 29407",1406,Savannah Hwy,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usn84spdtwcpkaebqaec7w88a9fdc
King Street Station (CHS),356 King Street,29401,Charleston,SC,Island Brands,Island Coastal Lager,32.785061,-79.935611,1,rooftop,356 King St,,"Charleston, SC 29401",356,King St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnf5vftuxyvqdfcghw3zbt3ltv8a
Harris Teeter #455 (CHS),1739 Maybank Highway,29412,Charleston,SC,Island Brands,Island Coastal Lager,32.761902,-79.977026,1,rooftop,1739 Maybank Hwy,,"Charleston, SC 29412",1739,Maybank Hwy,,,Charleston,SC,Charleston County,29412,US,Charleston County GIS,gcod_usnhlgspal559gt9pbdg83n6czla7
Harris Teeter #28 (CHS),675 Folly Road,29412,Charleston,SC,Island Brands,Island Coastal Lager,32.746308,-79.971944,1,rooftop,675 Folly Rd,,"Charleston, SC 29412",675,Folly Rd,,,Charleston,SC,Charleston County,29412,US,Charleston County GIS,gcod_usn8vewwym3yhyn45sql6ctgqukvf
Harris Teeter #456 (CHS),1005 Harbor View Road,29412,Charleston,SC,Island Brands,Island Coastal Lager,32.741825,-79.936152,1,rooftop,1005 Harbor View Rd,,"Charleston, SC 29412",1005,Harbor View Rd,,,Charleston,SC,Charleston County,29412,US,Charleston County GIS,gcod_usnjbbjrcwrm6nd8bgltbg3hwjmqh
Parkers #121 (CHS),3018 South Live Oak Drive,29461,Moncks Corner,SC,Island Brands,Island Coastal Lager,33.089446,-80.079603,1,rooftop,3018 S Live Oak Dr,,"Moncks Corner, SC 29461",3018,S Live Oak Dr,,,Moncks Corner,SC,Berkeley County,29461,US,Berkeley,gcod_usnnp7ntbkqjte35kqa86pe42yuwd
Parkers #81 (CHS),106 Foxbank Plantation Boulevard,29461,Moncks Corner,SC,Island Brands,Island Coastal Lager,33.096343,-80.031391,1,rooftop,106 Foxbank Plantation Blvd,,"Moncks Corner, SC 29461",106,Foxbank Plantation Blvd,,,Moncks Corner,SC,Berkeley County,29461,US,Berkeley,gcod_usnbqwbsvckxlwwdcsak2w2hmunu2
General Foods IGA - Walterboro #5224 (CHS),601 Wichman Street,29488,Walterboro,SC,Island Brands,Island Coastal Lager,32.904994,-80.6612,1,rooftop,601 Wichman St,,"Walterboro, SC 29488",601,Wichman St,,,Walterboro,SC,Colleton County,29488,US,Statewide SC,gcod_usnbxedlle856led6dr6q35q9yjt6
Harris Teeter #19 (CHS),920 Houston Northcutt Boulevard,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.801986,-79.891771,1,rooftop,920 Houston Northcutt Blvd,,"Mount Pleasant, SC 29464",920,Houston Northcutt Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usngrsapbubnazngkdrlambxh9tm9
Fresh Market #260 (CHS),1118 Bowman Road,29464,Mount Pleasant,SC,Island Brands,Island Coastal Lager,32.811861,-79.852392,1,rooftop,1118 Bowman Rd,,"Mount Pleasant, SC 29464",1118,Bowman Rd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usny5da5sw8bn5k2dk3zkpfj8g7kg
Walmart #1146 (CHS),511 North Highway 52,29461-3132,Moncks Corner,SC,Island Brands,Island Coastal Lager,33.210644,-79.985606,1,rooftop,511 N Highway 52,,"Moncks Corner, SC 29461",511,N Highway 52,,,Moncks Corner,SC,Berkeley County,29461,US,Berkeley,gcod_usn9wkgxx7c35vy9m3m9d5h55t7qb
Circle K #2723882 (CHS),901 Island Park Drive,29492,Charleston,SC,Island Brands,Island Coastal Lager,32.86143,-79.908113,1,rooftop,901 Island Park Dr,,"Daniel Island, SC 29492",901,Island Park Dr,,,Daniel Island,SC,Berkeley County,29492,US,Berkeley,gcod_usnfu34ru7esvzse8g79djphwbqj4
NWS - Navy Exchange (CHS),1765 Red Bank Road,29445,Goose Creek,SC,Island Brands,Island Coastal Lager,32.967002,-79.99396,1,rooftop,1765 Red Bank Rd,,"Goose Creek, SC 29445",1765,Red Bank Rd,,,Goose Creek,SC,Berkeley County,29445,US,Berkeley,gcod_usn93vgfll2l6rx9v7ruux6uy36y6
Harris Teeter #277 (CHS),290 East Bay Street,29401,Charleston,SC,Island Brands,Island Coastal Lager,32.784528,-79.928375,1,rooftop,290 E Bay St,,"Charleston, SC 29401",290,E Bay St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usncncrkar7hbeedta47h7ux2duh9
Food Lion #1499 (CHS),2770 Maybank Highway,29455,Johns Island,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.744996,-80.038179,1,rooftop,2770 Maybank Hwy,,"Johns Island, SC 29455",2770,Maybank Hwy,,,Johns Island,SC,Charleston County,29455,US,Charleston County GIS,gcod_usn4bxjjv5r333f3kgfzcckpstevf
Lowe's Foods #270 (CHS),10048 Dorchester Road,29485,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.953902,-80.164391,1,rooftop,10048 Dorchester Rd,,"Summerville, SC 29485",10048,Dorchester Rd,,,Summerville,SC,Dorchester County,29485,US,Statewide SC,gcod_usn8h8gaawezstt3ye4mddyjzek72
Harris Teeter #406 (CHS),3865 West Ashley Circle,29414,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.82611,-80.085134,1,rooftop,3865 W Ashley Cir,,"Charleston, SC 29414",3865,W Ashley Cir,,,Charleston,SC,Charleston County,29414,US,Charleston County GIS,gcod_usn5ellk4397mzrda7wm6m2gjapud
Harris Teeter #451 (CHS),515 Freshfields Drive,29455,Johns Island,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.606859,-80.147828,1,rooftop,515 Freshfields Dr,,"Johns Island, SC 29455",515,Freshfields Dr,,,Johns Island,SC,Charleston County,29455,US,Statewide SC,gcod_usnl9szn6wbplga674zlzdemurkp9
Earth Fare #205 - Summerville (CHS),1101 North Main Street,29483,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,33.031847,-80.162841,1,rooftop,1101 N Main St,,"Summerville, SC 29483",1101,N Main St,,,Summerville,SC,Berkeley County,29483,US,Berkeley,gcod_usnhwykyhvs5te763am7cwak44wy3
Lowe's Foods #279 (CHS),1000 Tanner Ford Boulevard,29410-4707,Hanahan,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.934126,-79.999537,1,rooftop,1000 Tanner Ford Blvd,,"Hanahan, SC 29410",1000,Tanner Ford Blvd,,,Hanahan,SC,Berkeley County,29410,US,Berkeley,gcod_usnmgk5jbr5gqvxhk25sczmwgsyt7
Bottles Beverage - Summerville (CHS),1110B North Main Street,29483-7326,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,33.033964,-80.162111,1,rooftop,1110 N Main St,,"Summerville, SC 29483",1110,N Main St,,,Summerville,SC,Berkeley County,29483,US,Berkeley,gcod_usnhwykyhvs5te76qjbd8nlhkmeqf
NWS - Navy Exchange (CHS),1765 Red Bank Road,29445,Goose Creek,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.967002,-79.99396,1,rooftop,1765 Red Bank Rd,,"Goose Creek, SC 29445",1765,Red Bank Rd,,,Goose Creek,SC,Berkeley County,29445,US,Berkeley,gcod_usn93vgfll2l6rx9v7ruux6uy36y6
Food Lion #1691 (CHS),2144 Savannah Highway,29414-5312,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.792784,-80.036881,1,rooftop,2144 Savannah Hwy,,"Charleston, SC 29414",2144,Savannah Hwy,,,Charleston,SC,Charleston County,29414,US,City of Charleston,gcod_usnewq83dry5bvz642gbheztph3q2
Harris Teeter #452 (CHS),1513 Palm Boulevard,29451,Isle Of Palms,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,32.789545,-79.787191,1,rooftop,1513 Palm Blvd,,"Isle of Palms, SC 29451",1513,Palm Blvd,,,Isle of Palms,SC,Charleston County,29451,US,Statewide SC,gcod_usnujauxvc77hc2h7xqx5wwypslcg
Food Lion #2247 (CHS),2915 West Fifth Street,29483,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Berry Stomp,33.056501,-80.240196,0.92,rooftop,2915 W 5 North St,,"Summerville, SC 29483",2915,W 5 North St,,,Summerville,SC,Dorchester County,29483,US,Statewide SC,gcod_usn5fegx2pkq4mrdgpjc7np8yv2l8
Jadoon's Market (CHS),5137 North Rhett Avenue,29405,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Cuban Lager,32.89165,-79.985853,1,rooftop,5137 N Rhett Ave,,"North Charleston, SC 29405",5137,N Rhett Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS,gcod_usnj6quy3n8jhtx2w9kpnnvuds6f7
